Year,Tonnes,Recovery,Recycling,Not Recovery,Recovery Rate,Recycling Rate
2006-2007,36153382.931206144,15607916.387579698,14090207.958002621,20545466.543626446,0.43171385696544523,0.3897341497699935
2008-2009,36068835.143009126,14846829.786650836,13302647.773627713,21222005.35635829,0.41162487581827145,0.3688127914551196
2009-2010,36846403.445576735,16783432.535714295,15276057.010126745,20062970.90986244,0.4554971711283555,0.4145874653055338
2010-2011,36513104.19698752,19017303.369148273,17437667.082673643,17495800.827839244,0.520835020395699,0.47757284586371385
2013-2014,38428712.113854684,21942281.771029096,20397714.04627569,16486430.342825588,0.5709866546143829,0.5307935895910941
2014-2015,47384285.9908643,30753662.43568522,29174038.029457588,16630623.555179078,0.6490266085599461,0.6156901474696136
2015-2016,48629848.27582592,31853949.345465142,29983344.682055555,16775898.930360775,0.6550287626807147,0.6165625792618479
2016-2017,51038162.72465058,34399877.415162824,32723894.5800465,16638285.309487753,0.6740030514176064,0.6411652150683984
2017-2018,58617598.64311388,41492057.45788779,39643448.22442647,17125541.18522609,0.7078430099210842,0.6763062483298025
2018-2019,60102692.198818155,42580942.27409027,40725850.08718234,17521749.924727887,0.7084697992102186,0.6776044233170502
2019-2020,59839365.519911855,44179586.58298743,42074015.10105154,15659778.936924428,0.7383030585156596,0.7031159962257821
2020-2021,62259952.22288694,45571421.3165844,40324006.60249795,16688530.906302541,0.7319540039709862,0.6476716599161592
