Month,Recycling,Year
2006-07,56,2006-2007
2006-08,65,2006-2007
2006-09,65,2006-2007
2006-10,61,2006-2007
2006-11,65,2006-2007
2006-12,49,2006-2007
2007-01,58,2006-2007
2007-02,68,2006-2007
2007-03,73,2006-2007
2007-04,55,2006-2007
2007-05,82,2006-2007
2007-06,65,2006-2007
2007-07,54,2006-2007
2007-08,61,2007-2008
2007-09,63,2007-2008
2007-10,61,2007-2008
2007-11,58,2007-2008
2007-12,42,2007-2008
2008-01,47,2007-2008
2008-02,52,2007-2008
2008-03,60,2007-2008
2008-04,63,2007-2008
2008-05,67,2007-2008
2008-06,59,2007-2008
2008-07,53,2008-2009
2008-08,59,2008-2009
2008-09,58,2008-2009
2008-10,61,2008-2009
2008-11,64,2008-2009
2008-12,47,2008-2009
2009-01,55,2008-2009
2009-02,53,2008-2009
2009-03,62,2008-2009
2009-04,54,2008-2009
2009-05,62,2008-2009
2009-06,59,2008-2009
2009-07,55,2009-2010
2009-08,61,2009-2010
2009-09,59,2009-2010
2009-10,61,2009-2010
2009-11,63,2009-2010
2009-12,43,2009-2010
2010-01,50,2009-2010
2010-02,52,2009-2010
2010-03,57,2009-2010
2010-04,57,2009-2010
2010-05,64,2009-2010
2010-06,59,2009-2010
2010-07,48,2010-2011
2010-08,60,2010-2011
2010-09,53,2010-2011
2010-10,54,2010-2011
2010-11,55,2010-2011
2010-12,42,2010-2011
2011-01,47,2010-2011
2011-02,46,2010-2011
2011-03,50,2010-2011
2011-04,45,2010-2011
2011-05,59,2010-2011
2011-06,50,2010-2011
2011-07,45,2011-2012
2011-08,52,2011-2012
2011-09,48,2011-2012
2011-10,52,2011-2012
2011-11,48,2011-2012
2011-12,42,2011-2012
2012-01,46,2011-2012
2012-02,45,2011-2012
2012-03,57,2011-2012
2012-04,49,2011-2012
2012-05,50,2011-2012
2012-06,51,2011-2012
2012-07,44,2012-2013
2012-08,47,2012-2013
2012-09,48,2012-2013
2012-10,45,2012-2013
2012-11,53,2012-2013
2012-12,39,2012-2013
2013-01,42,2012-2013
2013-02,45,2012-2013
2013-03,48,2012-2013
2013-04,50,2012-2013
2013-05,47,2012-2013
2013-06,50,2012-2013
2013-07,46,2013-2014
2013-08,48,2013-2014
2013-09,45,2013-2014
2013-10,46,2013-2014
2013-11,49,2013-2014
2013-12,44,2013-2014
2014-01,46,2013-2014
2014-02,44,2013-2014
2014-03,52,2013-2014
2014-04,52,2013-2014
2014-05,50,2013-2014
2014-06,51,2013-2014
2014-07,46,2014-2015
2014-08,50,2014-2015
2014-09,48,2014-2015
2014-10,47,2014-2015
2014-11,47,2014-2015
2014-12,45,2014-2015
2015-01,46,2014-2015
2015-02,46,2014-2015
2015-03,52,2014-2015
2015-04,48,2014-2015
2015-05,51,2014-2015
2015-06,50,2014-2015
2015-07,44,2015-2016
2015-08,49,2015-2016
2015-09,51,2015-2016
2015-10,52,2015-2016
2015-11,53,2015-2016
2015-12,44,2015-2016
2016-01,47,2015-2016
2016-02,47,2015-2016
2016-03,47,2015-2016
2016-04,49,2015-2016
2016-05,55,2015-2016
2016-06,46,2015-2016
2016-07,52,2016-2017
2016-08,55,2016-2017
2016-09,50,2016-2017
2016-10,49,2016-2017
2016-11,51,2016-2017
2016-12,49,2016-2017
2017-01,54,2016-2017
2017-02,52,2016-2017
2017-03,59,2016-2017
2017-04,50,2016-2017
2017-05,68,2016-2017
2017-06,73,2016-2017
2017-07,63,2017-2018
2017-08,66,2017-2018
2017-09,59,2017-2018
2017-10,57,2017-2018
2017-11,66,2017-2018
2017-12,67,2017-2018
2018-01,74,2017-2018
2018-02,68,2017-2018
2018-03,68,2017-2018
2018-04,73,2017-2018
2018-05,69,2017-2018
2018-06,69,2017-2018
2018-07,75,2018-2019
2018-08,83,2018-2019
2018-09,73,2018-2019
2018-10,72,2018-2019
2018-11,100,2018-2019
2018-12,89,2018-2019
2019-01,91,2018-2019
2019-02,85,2018-2019
2019-03,83,2018-2019
2019-04,86,2018-2019
2019-05,78,2018-2019
2019-06,82,2018-2019
2019-07,84,2019-2020
2019-08,90,2019-2020
2019-09,89,2019-2020
2019-10,91,2019-2020
2019-11,95,2019-2020
2019-12,96,2019-2020
2020-01,99,2019-2020
2020-02,85,2019-2020
2020-03,76,2019-2020
2020-04,80,2019-2020
2020-05,87,2019-2020
2020-06,88,2019-2020
2020-07,77,2020-2021
2020-08,83,2020-2021
2020-09,83,2020-2021
2020-10,87,2020-2021
2020-11,88,2020-2021
2020-12,87,2020-2021
2021-01,98,2020-2021
2021-02,83,2020-2021
2021-03,87,2020-2021
2021-04,85,2020-2021
2021-05,85,2020-2021
2021-06,81,2020-2021
